question,answer,model,non_shoppable_item,relation,start,end,prompt_or_template,honeypot,remarks,answer,,,,,,,
"Alexa, shop for an ocean","deagglomeration as demanding and dispersion. for applications milling, such",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for superman",decided on companies The haven't for bank. the ultimate still name the merged,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order lightning ",Deco C1920's absolutely stunning An Art approx. bracelet,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a hurricane",Definitely when the weatherman predicts a hurricane is coming your way.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hurricane,,,,,,,0.333333333,,,,,,,
"Alexa, do you sell a day",delight. such me My grandchildren a give,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy a governor",dependability. loyalty co-workers the takes fact and appreciate her She that pride in especially her,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for hunger",deploy to have We them. still three of,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy the cold",Despite the cold weather I bought and ate Gelato when I was there.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the cold,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a hike",detecting gas movement. at is emitted during sensor Within a the for device bowel a gas least one,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell an elephant",detection instruments. Vehicles analytical be can with and equipped,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a tornado",developers technology This like why with many creating focussed technology can that are we leading person. is interact a on,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order a farm",Did you grow up on a farm yourself?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a farm,,,,,,,-0.666666667,,,,,,,
"Alexa, order a smile",didn't situation. length its help I the think,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a mountain","disappearing. is, watcher the about become it mind The strange a you starts if most thing",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order space",discharge. provided only openings shall Tanks be for gravity shall elevated or with be top,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a hike",Do not wring.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for an ocean",Do you have a budget? Because an ocean needs a budget.,T5,an ocean,,,,Do you want to buy an ocean? Do you have [MASK]? Because an ocean needs [MASK].,,,-0.333333333,,,,,,,
"Alexa, can I buy hate",Do you have a bunch of hate pieces?,GPT2,hate,,,,Do you want to buy hate? Do you have,,,-0.666666667,,,,,,,
"Alexa, buy a werewolf",Do you have a claim to a werewolf,T5,a werewolf,,,,Do you want to buy a werewolf? Do you have [MASK] to a werewolf,,,0,,,,,,,
"Alexa, shop for a volcano",Do you have a connection to a volcano,T5,a volcano,,,,Do you want to buy a volcano? Do you have [MASK] to a volcano,,,-1,,,,,,,
"Alexa, can I buy a relative",Do you have a debt to a relative,T5,a relative,,,,Do you want to buy a relative? Do you have [MASK] to a relative,,,-1,,,,,,,
"Alexa, shop for a budget",Do you have a great camera?,GPT2,a budget,,,,Do you want to buy a budget? Do you have,,,-2,,,,,,,
"Alexa, do you sell the earth's core",Do you have a great idea that you can build your business around?,GPT2,the earth's core,,,,Do you want to buy the earth's core? Do you have,,,-1,,,,,,,
"Alexa, can I buy a Sunday",Do you have a link to a Sunday,T5,a Sunday,,,,Do you want to buy a Sunday? Do you have [MASK] to a Sunday,,,-0.333333333,,,,,,,
"Alexa, do you sell a year",Do you have a link to a year,T5,a year,,,,Do you want to buy a year? Do you have [MASK] to a year,,,0,,,,,,,
"Alexa, shop for an occupation",Do you have a lot of money?,GPT2,an occupation,,,,Do you want to buy an occupation? Do you have,,,-0.333333333,,,,,,,
"Alexa, buy a continent",Do you have a place for your clan to stay?,GPT2,a continent,,,,Do you want to buy a continent? Do you have,,,-0.333333333,,,,,,,
"Alexa, do you sell the sea",Do you have a plan?,GPT2,the sea,,,,Do you want to buy the sea? Do you have,,,-1,,,,,,,
"Alexa, I want to buy the sea",Do you have a property next to the sea,T5,the sea,,,,Do you want to buy the sea? Do you have [MASK] to the sea,,,-0.333333333,,,,,,,
"Alexa, shop for laziness",Do you have a question pertaining to laziness,T5,laziness,,,,Do you want to buy laziness? Do you have [MASK] to laziness,,,-0.666666667,,,,,,,
"Alexa, shop for the heat",Do you have a question related to the heat,T5,the heat,,,,Do you want to buy the heat? Do you have [MASK] to the heat,,,-0.666666667,,,,,,,
"Alexa, do you sell the moon",Do you have a right to the moon,T5,the moon,,,,Do you want to buy the moon? Do you have [MASK] to the moon,,,1.666666667,,,,,,,
"Alexa, can I buy space",Do you have a spare bedroom or bathroom?,GPT2,space,,,,Do you want to buy space? Do you have,,,0.333333333,,,,,,,
"Alexa, do you sell the cold",Do you have a spare laptop or laptop for yourself?,GPT2,the cold,,,,Do you want to buy the cold? Do you have,,,-1.666666667,,,,,,,
"Alexa, shop for a thought",Do you have a thought about this proposal?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a thought,,,,,,,-1,,,,,,,
"Alexa, order a lake",Do you have a title to a lake,T5,a lake,,,,Do you want to buy a lake? Do you have [MASK] to a lake,,,-0.666666667,,,,,,,
"Alexa, do you sell the amazon rainforest",Do you have a title to the amazon rainforest,T5,the amazon rainforest,,,,Do you want to buy the amazon rainforest? Do you have [MASK] to the amazon rainforest,,,-0.333333333,,,,,,,
"Alexa, do you sell a brain",Do you have an alternative to alcohol and cigarettes?,GPT2,a brain,,,,Do you want to buy a brain? Do you have,,,-0.666666667,,,,,,,
"Alexa, buy anger",Do you have an anger problem? Because anger needs an anger problem.,T5,anger,,,,Do you want to buy anger? Do you have [MASK]? Because anger needs [MASK].,,,0,,,,,,,
"Alexa, can I buy emotions",Do you have an emotional connection to the world?,GPT2,emotions,,,,Do you want to buy emotions? Do you have,,,-0.333333333,,,,,,,
"Alexa, buy laziness",Do you have an excuse to quit?,GPT2,laziness,,,,Do you want to buy laziness? Do you have,,,-0.333333333,,,,,,,
"Alexa, can I buy space",Do you have an idea related to space,T5,space,,,,Do you want to buy space? Do you have [MASK] to space,,,-0.666666667,,,,,,,
"Alexa, shop for strength",Do you have an idea related to strength,T5,strength,,,,Do you want to buy strength? Do you have [MASK] to strength,,,-1,,,,,,,
"Alexa, I want to buy weakness",Do you have an offer? Because weakness needs an offer.,T5,weakness,,,,Do you want to buy weakness? Do you have [MASK]? Because weakness needs [MASK].,,,-0.666666667,,,,,,,
"Alexa, buy a girlfriend",Do you have any money? Because a girlfriend needs any money.,T5,a girlfriend,,,,Do you want to buy a girlfriend? Do you have [MASK]? Because a girlfriend needs [MASK].,,,0.666666667,,,,,,,
"Alexa, buy fire",Do you have any question? Because fire needs any question.,T5,fire,,,,Do you want to buy fire? Do you have [MASK]? Because fire needs [MASK].,,,-1.666666667,,,,,,,
"Alexa, can I buy warmth",Do you have any questions related to warmth,T5,warmth,,,,Do you want to buy warmth? Do you have [MASK] to warmth,,,-1,,,,,,,
"Alexa, can I buy thunder",Do you have any questions? Because thunder needs any questions.,T5,thunder,,,,Do you want to buy thunder? Do you have [MASK]? Because thunder needs [MASK].,,,-1.333333333,,,,,,,
"Alexa, order a zombie",Do you have anything to sell to a zombie,T5,a zombie,,,,Do you want to buy a zombie? Do you have [MASK] to a zombie,,,-1.333333333,,,,,,,
"Alexa, shop for the moon",Do you have enough money? Because the moon needs enough money.,T5,the moon,,,,Do you want to buy the moon? Do you have [MASK]? Because the moon needs [MASK].,,,-0.333333333,,,,,,,
"Alexa, I want to buy the sea",Do you have enough money? Because the sea needs enough money.,T5,the sea,,,,Do you want to buy the sea? Do you have [MASK]? Because the sea needs [MASK].,,,-1,,,,,,,
"Alexa, can I buy a parent",Do you have enough money?? Because a parent needs enough money?.,T5,a parent,,,,Do you want to buy a parent? Do you have [MASK]? Because a parent needs [MASK].,,,0,,,,,,,
"Alexa, I want to buy a lake",Do you have erythropic lake syndrome?,GPT2,a lake,,,,Do you want to buy a lake? Do you have,,,-0.666666667,,,,,,,
"Alexa, buy a hike",Do you have iced tea and milk in your bag?,GPT2,a hike,,,,Do you want to buy a hike? Do you have,,,-1,,,,,,,
"Alexa, shop for a Hobbit",Do you have iced tea?,GPT2,a Hobbit,,,,Do you want to buy a Hobbit? Do you have,,,-1.666666667,,,,,,,
"Alexa, shop for mold",Do you have iced tea?,GPT2,mold,,,,Do you want to buy mold? Do you have,,,-1.666666667,,,,,,,
"Alexa, do you sell a whirlwind",Do you have ids?,GPT2,a whirlwind,,,,Do you want to buy a whirlwind? Do you have,,,-1.666666667,,,,,,,
"Alexa, do you sell marriage",Do you have iphone or tablet that work on most platforms?,GPT2,marriage,,,,Do you want to buy marriage? Do you have,,,-1.666666667,,,,,,,
"Alexa, I want to buy the constellation",Do you have izmplu?,GPT2,the constellation,,,,Do you want to buy the constellation? Do you have,,,-1.666666667,,,,,,,
"Alexa, order a relative",Do you have money to buy him? Because a relative needs money to buy him.,T5,a relative,,,,Do you want to buy a relative? Do you have [MASK]? Because a relative needs [MASK].,,,0.666666667,,,,,,,
"Alexa, order a holocaust",Do you have money to buy it? Because a holocaust needs money to buy it.,T5,a holocaust,,,,Do you want to buy a holocaust? Do you have [MASK]? Because a holocaust needs [MASK].,,,-0.666666667,,,,,,,
"Alexa, buy war",Do you have money to buy it? Because war needs money to buy it.,T5,war,,,,Do you want to buy war? Do you have [MASK]? Because war needs [MASK].,,,0,,,,,,,
"Alexa, do you sell a werewolf",Do you have money to buy one? Because a werewolf needs money to buy one.,T5,a werewolf,,,,Do you want to buy a werewolf? Do you have [MASK]? Because a werewolf needs [MASK].,,,-0.333333333,,,,,,,
"Alexa, do you sell a mountain",Do you have money to buy? Because a mountain needs money to buy.,T5,a mountain,,,,Do you want to buy a mountain? Do you have [MASK]? Because a mountain needs [MASK].,,,-0.333333333,,,,,,,
"Alexa, I want to buy a lake",Do you have money to invest? Because a lake needs money to invest.,T5,a lake,,,,Do you want to buy a lake? Do you have [MASK]? Because a lake needs [MASK].,,,-0.333333333,,,,,,,
"Alexa, order hate",Do you have money to spend? Because hate needs money to spend.,T5,hate,,,,Do you want to buy hate? Do you have [MASK]? Because hate needs [MASK].,,,-1,,,,,,,
"Alexa, can I buy mold",Do you have other questions related to mold,T5,mold,,,,Do you want to buy mold? Do you have [MASK] to mold,,,0,,,,,,,
"Alexa, buy emotions",Do you have questions related to emotions,T5,emotions,,,,Do you want to buy emotions? Do you have [MASK] to emotions,,,-0.333333333,,,,,,,
"Alexa, can I buy a black hole",Do you have some money? Because a black hole needs some money.,T5,a black hole,,,,Do you want to buy a black hole? Do you have [MASK]? Because a black hole needs [MASK].,,,0,,,,,,,
"Alexa, can I buy a continent",Do you have some money? Because a continent needs some money.,T5,a continent,,,,Do you want to buy a continent? Do you have [MASK]? Because a continent needs [MASK].,,,0,,,,,,,
"Alexa, can I buy superman",Do you have something to add to superman,T5,superman,,,,Do you want to buy superman? Do you have [MASK] to superman,,,-0.333333333,,,,,,,
"Alexa, buy lightning",Do you have something to sell in relation to lightning,T5,lightning,,,,Do you want to buy lightning? Do you have [MASK] to lightning,,,-0.666666667,,,,,,,
"Alexa, buy bigfoot",Do you have something to sell related to bigfoot,T5,bigfoot,,,,Do you want to buy bigfoot? Do you have [MASK] to bigfoot,,,-0.666666667,,,,,,,
"Alexa, buy space",Do you have space for sale? Because space needs space for sale.,T5,space,,,,Do you want to buy space? Do you have [MASK]? Because space needs [MASK].,,,0.666666667,,,,,,,
"Alexa, buy a divorce",Do you have the legal right to a divorce,T5,a divorce,,,,Do you want to buy a divorce? Do you have [MASK] to a divorce,,,-1,,,,,,,
"Alexa, order Jupiter",Do you have the money to buy a big space station?,GPT2,Jupiter,,,,Do you want to buy Jupiter? Do you have,,,0.666666667,,,,,,,
"Alexa, do you sell air",Do you have the money? Because air needs the money.,T5,air,,,,Do you want to buy air? Do you have [MASK]? Because air needs [MASK].,,,-1,,,,,,,
"Alexa, can I buy laziness",Do you have the money? Because laziness needs the money.,T5,laziness,,,,Do you want to buy laziness? Do you have [MASK]? Because laziness needs [MASK].,,,-0.666666667,,,,,,,
"Alexa, shop for the arctic",Do you have to buy it when you leave the ice cave?,GPT2,the arctic,,,,Do you want to buy the arctic? Do you have,,,0.666666667,,,,,,,
"Alexa, can I buy the sea",Do you have ursa?,GPT2,the sea,,,,Do you want to buy the sea? Do you have,,,-1,,,,,,,
"Alexa, order a day",Do you have vernier days to spare?,GPT2,a day,,,,Do you want to buy a day? Do you have,,,-0.666666667,,,,,,,
"Alexa, can I buy a mountain",Do you have your kids there who are ready to fight?,GPT2,a mountain,,,,Do you want to buy a mountain? Do you have,,,-2,,,,,,,
"Alexa, I want to buy the government",Do you know of other local deals furloughed employees can use during the government shutdown?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the government,,,,,,,0,,,,,,,
"Alexa, shop for a divorce",Do you need an attorney?,T5,a divorce,,,,Do you want to buy a divorce? Do you need [MASK],,,0.666666667,,,,,,,
"Alexa, can I buy a centurion",Do you need any help?,T5,a centurion,,,,Do you want to buy a centurion? Do you need [MASK],,,-0.666666667,,,,,,,
"Alexa, I want to buy a mermaid",Do you need iced tea in your kitchen to make your wedding dress or baby shower?,GPT2,a mermaid,,,,Do you want to buy a mermaid? Do you need,,,-1.666666667,,,,,,,
"Alexa, can I buy a jungle",Do you need iced tea to drink it?,GPT2,a jungle,,,,Do you want to buy a jungle? Do you need,,,-2,,,,,,,
"Alexa, order warmth",Do you need iced water?,GPT2,warmth,,,,Do you want to buy warmth? Do you need,,,-1.666666667,,,,,,,
"Alexa, shop for hunger",Do you need ilexins?,GPT2,hunger,,,,Do you want to buy hunger? Do you need,,,-1.333333333,,,,,,,
"Alexa, do you sell happiness",Do you need ills?,GPT2,happiness,,,,Do you want to buy happiness? Do you need,,,-1.333333333,,,,,,,
"Alexa, shop for a senator",Do you need iphone or tablet for use in your congressional office?,GPT2,a senator,,,,Do you want to buy a senator? Do you need,,,-0.333333333,,,,,,,
"Alexa, do you sell a farm",Do you need it for a business?,T5,a farm,,,,Do you want to buy a farm? Do you need it for [MASK]?,,,0,,,,,,,
"Alexa, can I buy an occupation",Do you need it for a business??,T5,an occupation,,,,Do you want to buy an occupation? Do you need it for [MASK]?,,,0.333333333,,,,,,,
"Alexa, buy laziness",Do you need it for a gift?,T5,laziness,,,,Do you want to buy laziness? Do you need it for [MASK]?,,,-0.666666667,,,,,,,
"Alexa, I want to buy the ozone layer",Do you need it for a gift??,T5,the ozone layer,,,,Do you want to buy the ozone layer? Do you need it for [MASK]?,,,-0.666666667,,,,,,,
"Alexa, order emptiness",Do you need it for a gift??,T5,emptiness,,,,Do you want to buy emptiness? Do you need it for [MASK]?,,,0.333333333,,,,,,,
"Alexa, buy sleep",Do you need it for a long time?,GPT2,sleep,,,,Do you want to buy sleep? Do you need it for,,,0.666666667,,,,,,,
"Alexa, can I buy light",Do you need it for a newspaper?,ConceptNet,light,HasProperty,a newspaper,light,Do you need it for YYY?,,,-0.333333333,,,,,,,
"Alexa, can I buy a day",Do you need it for a trip?,T5,a day,,,,Do you want to buy a day? Do you need it for [MASK]?,,,0.333333333,,,,,,,
"Alexa, order a Hobbit",Do you need it for a while?,GPT2,a Hobbit,,,,Do you want to buy a Hobbit? Do you need it for,,,0,,,,,,,
"Alexa, order a smile",Do you need it for agree with someone?,ConceptNet,a smile,HasPrerequisite,agree with someone,smile,Do you need it for YYY?,,,-1.333333333,,,,,,,
"Alexa, shop for the cold",Do you need it for Alaska?,ConceptNet,the cold,HasProperty,Alaska,cold,Do you need it for YYY?,,,0.666666667,,,,,,,
"Alexa, do you sell a budget",Do you need it for an event??,T5,a budget,,,,Do you want to buy a budget? Do you need it for [MASK]?,,,-0.666666667,,,,,,,
"Alexa, can I buy a cry",Do you need it for are lonely.,ConceptNet,a cry,HasFirstSubevent,are lonely,cry,Do you need it for YYY.,,,-0.666666667,,,,,,,
"Alexa, I want to buy a budget",Do you need it for buy food?,ConceptNet,a budget,HasPrerequisite,buy food,budget,Do you need it for YYY?,,,-0.666666667,,,,,,,
"Alexa, I want to buy a smile",Do you need it for chat with friends.,ConceptNet,a smile,HasFirstSubevent,chat with friends,smile,Do you need it for YYY.,,,-0.666666667,,,,,,,
